"filename", "language", "CSS", "HTML", "PHP", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\suumaya-lifestyle-limited\index.php", "PHP", 0, 0, 118, 0, 0, 12, 130
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\tenty-limited.php", "PHP", 0, 0, -79, 0, 0, -12, -91
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\tenty-limited\index.php", "PHP", 0, 0, 77, 0, 0, 12, 89
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\trackpoint-gps-limited.php", "PHP", 0, 0, -79, 0, 0, -12, -91
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\trackpoint-gps-limited\index.php", "PHP", 0, 0, 77, 0, 0, 12, 89
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\transteel-Seating-Technologies-Limited.php", "PHP", 0, 0, -140, 0, 0, -12, -152
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\transteel-seating-technologies-limited\index.php", "PHP", 0, 0, 138, 0, 0, 12, 150
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\veeram-ornaments-limited.php", "PHP", 0, 0, -120, 0, 0, -14, -134
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\veeram-ornaments-limited\index.php", "PHP", 0, 0, 118, 0, 0, 14, 132
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\yug-decor-limited.php", "PHP", 0, 0, -139, 0, 0, -14, -153
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\yug-decor-limited\index.php", "PHP", 0, 0, 137, 0, 0, 14, 151
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\zenith-drugs-limited.php", "PHP", 0, 0, -140, 0, 0, -13, -153
"c:\xampp\htdocs\Gretex Corporate main\offer-documents\ipo\zenith-drugs-limited\index.php", "PHP", 0, 0, 137, 0, 0, 13, 150
"c:\xampp\htdocs\Gretex Corporate main\random.html", "HTML", 0, 211, 0, 0, 33, 20, 264
"c:\xampp\htdocs\Gretex Corporate main\what-we-do\capital-markets\index.php", "PHP", 0, 0, 1, 0, 0, 0, 1
